Percentile,Accounting,Advertising/Public Relations,Aerospace Engineering,Agricultural Economics,Agriculture,Animal Science,Anthropology/Archeology,Architecture,Area/Ethnic Studies,Art History,Biological Sciences,Chemical Engineering,Chemistry,Civil Engineering,Communication Technology,Communications,Composition and Rhetoric,Computer Administration Management,Computer and Information Systems,Computer Engineering,Computer Networking and Telecommunications,Computer Programming,Computer Science,Construction,Consumer Science,Cosmetology,Criminal Justice,Criminology,Drama,Economics,Education (All),Electrical Engineering,Engineering (Other),Engineering Technologies,English Language/Literature,Environmental Science,Film/Video/Photography,Finance,Fine Arts,Foreign Languages,Forestry,General Business,Geography,Graphic Design,Health Services (General),High School,History,Hospitality,Human Resources,Human/Community Services,Humanities,Industrial Engineering,Information Science,Interdisciplinary Studies,International Business,Journalism,Liberal Arts,Linguistics/Comparative Language and Literature,Management,Management and Information Science,Marketing,Mass Media,Mathematics and Statistics,Mechanical Engineering,Medical Technologies,Music,Natural Resources Management,Number of Records,Nursing,Philosophy and Religious Studies,Physical Fitness/Parks and Recreation,Physical Sciences (not chem/physics),Physics,Plant Science,Political Science,Psychology,Public Administration,Social Sciences (Other),Social Work,Sociology,Some College but no degree,Studio Arts,Theology,Transportation Science,Treatment Therapy (All)
1,1538733,1324145,2027993,1366684,1182853,1140082,1035879,1405172,1085852,1065321,1269666,2028795,1302574,1814954,1067421,1276427,1012676,1298133,1532033,1907162,1271568,1381160,1833017,1827862,939754.3,1016962,1213838,1245946,926512.5,1576771,964649.3,1868578,1670597,1541011,1099866,1169737,1000167,1823850,932307.6,1093201,1214097,1440355,1149997,1088362,1166876,692175.3,1123217,1200997,1406587,1000689,969062.4,1685355,1716494,1122251,1430948,1252709,1104679,1005877,1415788,1755863,1472164,1089096,1458095,1870065,1580904,859248.1,1192284,1,1848973,1017473,1084653,1300709,1421037,1104142,1385411,1113859,1366273,1137622,1028054,1142399,896292.3,830830.3,776534,1584916,1321981
2,1673857,1452861,2156719,1486828,1301391,1210574,1108218,1502214,1191504,1178875,1390405,2147351,1436241,1945067,1140198,1394609,1094654,1395627,1623750,2067476,1389450,1486637,1950713,1925131,1048093,1113641,1301232,1305362,1013567,1694050,1048745,1980276,1779603,1604092,1205525,1273501,1096335,1915426,1006868,1178313,1277034,1556304,1260190,1188466,1281159,747161.7,1217358,1301521,1515190,1085047,1054322,1809456,1852326,1211908,1525415,1374902,1213121,1097480,1499318,1878799,1548848,1170489,1579813,1968075,1657137,951635.4,1278898,1,1936817,1110396,1158662,1410998,1559484,1205614,1500436,1195730,1486955,1221086,1107439,1231707,960840,898292.3,843569,1699234,1453405
3,1760265,1519601,2239833,1542768,1338839,1280512,1181147,1566358,1282530,1233234,1464087,2254166,1500026,2022779,1189102,1466878,1155244,1454430,1694610,2142362,1443412,1549019,2025814,1990184,1104568,1158271,1367223,1363074,1049728,1770844,1098237,2077645,1858324,1675838,1267532,1339759,1147573,1998344,1050379,1224498,1353755,1641190,1317376,1234624,1345411,783407,1300509,1356495,1588345,1124610,1125031,1907381,1930771,1266717,1606046,1456187,1256718,1153780,1586433,1954792,1624942,1237961,1698458,2063995,1729899,1008421,1331279,1,2006161,1172326,1207476,1486162,1620442,1253577,1577738,1257941,1550630,1278673,1155904,1286714,1011118,949059,887309.6,1775853,1530007
4,1816639,1590513,2291640,1601297,1373441,1320816,1226503,1616406,1334004,1292432,1509616,2319692,1557105,2079772,1229326,1499937,1206232,1516157,1741367,2217060,1500029,1591768,2103237,2029274,1148935,1203693,1419670,1405849,1090248,1853009,1134280,2136061,1906809,1730375,1313178,1391700,1190663,2077813,1104120,1270336,1399025,1693756,1356474,1278232,1395005,811445.2,1349127,1406944,1632945,1186262,1166779,1946082,2004876,1318023,1679257,1514000,1310169,1189535,1654073,2047582,1672451,1298163,1777576,2127950,1778262,1049409,1367771,1,2052737,1210454,1241304,1544186,1682277,1298386,1650836,1324267,1605931,1326141,1198279,1334458,1039066,989603.9,919271.8,1844790,1588764
5,1872135,1635626,2337633,1643005,1402891,1357829,1271473,1670584,1375120,1335365,1547362,2386572,1616318,2112482,1273429,1543214,1240385,1561699,1794093,2277945,1546376,1635839,2153124,2079679,1184677,1240422,1448162,1445111,1119459,1909526,1172736,2183278,1958184,1767079,1355399,1438417,1232297,2152864,1152470,1310020,1424143,1735777,1407238,1322377,1440120,834591,1387985,1447537,1687103,1213023,1207004,1997678,2057810,1378051,1733684,1562891,1353419,1235285,1688898,2106050,1717027,1335626,1828505,2187410,1830965,1070834,1397778,1,2117018,1251692,1271409,1579812,1731659,1330395,1694178,1364038,1655501,1371250,1251812,1373754,1071881,1024308,939236.9,1905517,1637134
6,1933803,1678928,2375993,1675082,1438948,1390079,1300770,1715366,1420781,1379739,1585541,2448962,1660046,2157745,1312331,1585471,1269928,1602438,1829549,2326773,1588592,1675739,2212516,2114699,1229210,1264461,1478127,1475138,1149769,1965198,1202786,2245006,1993679,1805820,1389137,1474130,1275176,2204987,1182185,1350400,1462755,1778546,1434643,1358647,1474572,856426.6,1421372,1480606,1722571,1246186,1246281,2050761,2098026,1406637,1783607,1620782,1376917,1279841,1731092,2152971,1754566,1364484,1869378,2232286,1867988,1095026,1431820,1,2166147,1286485,1299297,1611570,1770217,1356920,1739082,1401252,1695045,1399413,1273775,1407236,1097936,1059315,960024.8,1947260,1668082
7,1980822,1725447,2424650,1714774,1462503,1425986,1327841,1761608,1459578,1416923,1614600,2504898,1696953,2195059,1337871,1620513,1303412,1627913,1864424,2367583,1610504,1719503,2257061,2145474,1264304,1289439,1516283,1509865,1176996,2021966,1231060,2278204,2038070,1835150,1427339,1515493,1311567,2251996,1199995,1383580,1486327,1809876,1466267,1383274,1509550,876071.9,1458436,1508592,1759533,1276862,1283274,2109624,2145106,1436259,1824024,1660032,1406627,1305199,1763005,2196871,1810815,1401778,1914420,2279839,1908189,1121692,1456701,1,2200700,1327781,1326742,1644176,1805758,1388837,1764655,1438940,1728498,1427072,1304464,1441717,1121201,1086259,985876.4,2001082,1702443
8,2019701,1757944,2457974,1753361,1492247,1456143,1365201,1796625,1492381,1452120,1648266,2557206,1736259,2231145,1372223,1651547,1335836,1659635,1901334,2412035,1637417,1753139,2300823,2173600,1290537,1304540,1553271,1527545,1212319,2077954,1254608,2314237,2070449,1862438,1455838,1547511,1340400,2288116,1230099,1418526,1510874,1847481,1487648,1415949,1546446,892946.4,1485784,1535428,1792792,1296482,1305795,2154373,2175963,1461665,1858902,1691975,1430176,1335057,1804303,2228833,1851696,1433491,1949647,2310924,1936121,1142433,1474802,1,2228009,1356042,1349993,1675084,1849925,1411705,1795704,1468642,1771238,1449699,1337164,1469745,1142436,1109353,1010027,2031634,1729061
9,2059812,1789341,2506157,1778601,1515926,1485879,1396906,1821166,1526155,1484287,1673612,2594189,1773101,2266927,1395269,1681344,1358527,1685024,1926428,2442872,1662183,1784820,2336536,2202298,1305007,1332854,1579984,1550649,1234598,2129079,1271614,2339475,2102154,1887995,1480305,1577418,1365473,2322788,1246507,1443146,1532491,1885157,1519040,1449544,1568424,908873.6,1518805,1567553,1819479,1319085,1335532,2186427,2208673,1488295,1896863,1726678,1450995,1374753,1835891,2263880,1883172,1463779,1991794,2358171,1958635,1167644,1501554,1,2253818,1377677,1377404,1705513,1886021,1439190,1838400,1492921,1801309,1478702,1351172,1499114,1162112,1127295,1027283,2061453,1757193
10,2090352,1811103,2531544,1821676,1539861,1509091,1422447,1842724,1552479,1514394,1699164,2630469,1799256,2310600,1419326,1710134,1377510,1708899,1957515,2472472,1690116,1809275,2372833,2225844,1328671,1348956,1604593,1578109,1250717,2157790,1298450,2369239,2135151,1914698,1510616,1601833,1389723,2352084,1263412,1467951,1555889,1917784,1537585,1472450,1606280,923926.6,1540968,1596176,1856349,1338152,1370827,2222566,2237750,1506492,1928997,1750681,1477926,1397686,1859162,2283023,1911736,1490933,2022239,2392439,1981941,1188748,1518935,1,2283354,1394393,1398196,1730915,1921446,1461003,1867116,1516168,1834358,1504699,1369727,1529103,1179751,1146648,1042571,2098972,1778388
